tick,sun,wind,factory,house,office
1,0.0,2.5,6.5,2.2,1.1
2,0.0,2.6,6.4,2.1,1.0
3,0.0,2.8,6.3,2.0,1.0
4,0.0,3.0,6.2,2.0,0.9
5,0.1,3.2,6.1,2.0,0.9
6,0.3,3.5,6.0,2.1,1.0
7,0.8,3.8,6.0,2.2,1.2
8,1.5,4.0,6.0,2.5,1.5
9,2.5,4.2,6.0,3.0,2.0
10,3.8,4.5,6.0,3.5,2.8
11,5.2,4.3,6.0,4.0,3.5
12,6.5,4.0,6.0,4.5,4.0
13,7.5,3.8,6.0,5.0,4.5
14,8.2,3.5,6.0,5.2,5.0
15,8.7,3.2,6.0,5.5,5.2
16,9.0,3.0,6.0,5.8,5.5
17,9.2,2.8,6.0,6.0,5.8
18,9.3,2.6,6.0,6.2,6.0
19,9.2,2.5,6.0,6.5,6.2
20,9.0,2.4,6.0,6.8,6.0
21,8.5,2.3,6.0,7.0,5.5
22,8.0,2.2,6.0,7.2,5.0
23,7.2,2.1,6.0,7.5,4.5
24,6.5,2.0,6.0,7.8,4.0
25,5.5,2.0,6.0,8.0,3.5
26,4.5,2.1,6.0,7.8,3.0
27,3.5,2.2,6.0,7.5,2.5
28,2.5,2.3,6.0,7.0,2.0
29,1.5,2.4,6.0,6.5,1.5
30,0.8,2.5,6.0,6.0,1.2
31,0.3,2.6,6.0,5.5,1.0
32,0.1,2.7,6.0,5.0,0.9
33,0.0,2.8,6.0,4.5,0.8
34,0.0,2.9,6.0,4.0,0.8
35,0.0,3.0,6.0,3.5,0.8
36,0.0,3.1,6.0,3.0,0.8
37,0.0,3.2,6.0,2.8,0.8
38,0.0,3.3,6.0,2.6,0.9
39,0.0,3.4,6.0,2.4,1.0
40,0.0,3.5,6.0,2.2,1.1
41,0.0,3.6,6.0,2.1,1.2
42,0.0,3.5,6.0,2.0,1.3
43,0.0,3.4,6.0,2.0,1.4
44,0.0,3.3,6.0,2.0,1.4
45,0.0,3.2,6.0,2.0,1.3
46,0.0,3.0,6.0,2.0,1.2
47,0.0,2.8,6.0,2.0,1.1
48,0.0,2.6,6.0,2.0,1.0
