tick,houseA,office,factory,class3
1,2.2,1.1,6.5,3.300000
2,2.1,1.0,6.4,3.100000
3,2.0,1.0,6.3,3.000000
4,2.0,0.9,6.2,2.900000
5,2.0,0.9,6.1,2.900000
6,2.1,1.0,6.0,3.100000
7,2.2,1.2,6.0,3.400000
8,2.5,1.5,6.0,4.000000
9,3.0,2.0,6.0,5.000000
10,3.5,2.8,6.0,6.300000
11,4.0,3.5,6.0,7.500000
12,4.5,4.0,6.0,8.500000
13,5.0,4.5,6.0,9.500000
14,5.2,5.0,6.0,10.200000
15,5.5,5.2,6.0,10.700000
16,5.8,5.5,6.0,11.300000
17,6.0,5.8,6.0,11.800000
18,6.2,6.0,6.0,12.200000
19,6.5,6.2,6.0,12.700000
20,6.8,6.0,6.0,12.800000
21,7.0,5.5,6.0,12.500000
22,7.2,5.0,6.0,12.200000
23,7.5,4.5,6.0,12.000000
24,7.8,4.0,6.0,11.800000
25,8.0,3.5,6.0,11.500000
26,7.8,3.0,6.0,10.800000
27,7.5,2.5,6.0,10.000000
28,7.0,2.0,6.0,9.000000
29,6.5,1.5,6.0,8.000000
30,6.0,1.2,6.0,7.200000
31,5.5,1.0,6.0,6.500000
32,5.0,0.9,6.0,5.900000
33,4.5,0.8,6.0,5.300000
34,4.0,0.8,6.0,4.800000
35,3.5,0.8,6.0,4.300000
36,3.0,0.8,6.0,3.800000
37,2.8,0.8,6.0,3.600000
38,2.6,0.9,6.0,3.500000
39,2.4,1.0,6.0,3.400000
40,2.2,1.1,6.0,3.300000
41,2.1,1.2,6.0,3.300000
42,2.0,1.3,6.0,3.300000
43,2.0,1.4,6.0,3.400000
44,2.0,1.4,6.0,3.400000
45,2.0,1.3,6.0,3.300000
46,2.0,1.2,6.0,3.200000
47,2.0,1.1,6.0,3.100000
48,2.0,1.0,6.0,3.000000
